"FNAME","LONGITUDE_X","LATITUDE_Y"
"금풍빌딩",126.99044864751527,37.563431603335324
"다동빌딩",126.98207901011816,37.56794798974185
"대일빌딩",126.98303367765763,37.56795452743466
"신이문역앞공중화장실",127.06801527772735,37.603022571464344
"용마폭포공중화장실",127.08924322759339,37.57397515307354
"중화3동공중화장실",127.07418947235541,37.60234550041743
"강남구보건소",127.05213338926649,37.51599470156191
"신사동주민센터",127.02282429883748,37.52400555329855
"강동구보건소",127.12541388530758,37.52926369353064
"한화역사(주)",126.97203309249757,37.555929234347566
"태광산업",127.00373910459187,37.561824453457604
"한국화이자",126.9840848547792,37.56047809901453
"한주흥산",126.98403495713697,37.564376205935105
"동대문운동장공중화장실",127.01210778871535,37.56724821588269
"동양생명",126.98653135118927,37.56520873883503
"가양지구대",126.85017839065803,37.55926559152876
"곰돌이공중화장실",126.85745173603253,37.562314409934814
"가리봉1동주민센터",126.88991850196187,37.4808535380092
"진달래공중화장실",126.86099282660308,37.56237919791187
"구로1동주민센터",126.87580291427216,37.493080788250516
"비둘기공중화장실",126.86297218400348,37.55950505292425
"고척1동주민센터",126.86276574971174,37.50046324461865
"강서경찰서",126.84997257014214,37.55144409810995
"삼들공중화장실",127.0533210062667,37.667944623526
"조원제1공영주차장",126.90466097951594,37.48308384734065
"공항동체육공원화장실",126.8121440947624,37.555734269735815
"나들이공중화장실",126.84427737112698,37.57183637978704
"수궁동주민센터",126.8314717379218,37.493949993598235
"꽃동네공중화장실",126.8470847083525,37.570206080667205
"온수근린공원화장실",127.06417638814844,37.66092730915661
"실로암안과병원",126.86194425689709,37.546186398261646
"상계1동수락산공중화장실",127.07024556936325,37.68759383203185
"황금내공중화장실",126.86443667443332,37.561731169920996
"구의3동사무소",127.0976934608308,37.539044611751656
"방화공중화장실",126.81209587214782,37.581672901239976
"동부지방법원",127.08747012564345,37.53685794472055
"원신공영주차장",126.92940671580033,37.47016019714292
"구로본동주민센터",126.88290031024228,37.49931680941938
"미성동주민센터",126.91556330493395,37.476219988519865
"봉원공중화장실",126.94618308659398,37.570722390436124
"광진구청",127.0827139378409,37.53799569766952
"무궁화공중화장실",126.85119592687187,37.54519750175295
"자양2동주민센터",127.08436841324324,37.528831900913815
"꿈돌이공중화장실",126.84631392331777,37.54554257752881
"자양4동주민센터",127.06617323171619,37.53415600657197
"이수공중화장실",126.87437713014835,37.54828685071978
"구의1동사무소",127.0856855210806,37.54254937850621
"구암공중화장실",126.85267638731237,37.567789416385516
"좌월공중화장실",126.91331692559783,37.61732308468246
"방화2종합사회복지관",126.81960559632515,37.574906406193676
"구산공중화장실",126.90674374497763,37.608847248982606
"방화119안전센터",126.81429289279943,37.57981756160199
"장미공중화장실",126.81385019628657,37.55670342460648
"구로4동주민센터",126.8866002917296,37.48567697390502
"쌈지공중화장실",126.81497505271355,37.57118828369853
"고척2동주민센터",126.85866962433946,37.50669243803892
"성현동주민센터",126.94811882096081,37.48960090535241
"홍제2공중화장실",126.95485118311466,37.592858688414225
"서원동주민센터",126.93134944562246,37.47979683769445
"남가좌1공중화장실",126.9182623992328,37.572876924765545
"은천동주민센터",126.94084667427134,37.48590045186032
"남가좌2공중화장실",126.91654121043021,37.5706876135985
"달빛공중화장실",127.05986698610087,37.66327460127566
"화곡119안전센터",126.84524128887801,37.54370519990606
"강서구민회관",126.8436456400983,37.55348296976556
"두루미공중화장실",127.05323819857662,37.66574257205221
"강서구청",126.84954422816509,37.55107627227383
"가양5종합사회복지관",126.85338065497774,37.56433459342325
"불광시범공중화장실",126.93602209122157,37.62312603945229
"가양7종합사회복지관",126.86245090608651,37.56135186397488
"새장골공중화장실",126.92625843492681,37.625339060003796
"등촌종합사회복지관",126.84222210657535,37.564061067855384
"구로5동주민센터",126.8893405172557,37.50015787161007
"무지개공중화장실",126.85185187392959,37.5649552160379
"개봉동주민센터",126.8471343772021,37.50224045915491
"거리공원등기소앞화장실",126.8904376439351,37.50102651648606
"개봉2동주민센터",126.8565277232701,37.490868056619824
"구로3동동산빌라앞화장실",126.88859182486968,37.486326124336124
"행운동제1공영주차장",126.96059558131327,37.47988623883619
"공항지구대",126.80833534882979,37.562393073919466
"감나무공중화장실",127.05866219351915,37.6492494179431
"곰달래지구대",126.86315316350795,37.53296074586876
"길마공중화장실",126.91586174769341,37.614736775488
"등촌4종합사회복지관",126.84374709431304,37.56085513772033
"서갈현공중화장실",126.91578113718487,37.62150248566479
"등촌7종합사회복지관",126.85069054599481,37.560327999446955
"박석공중화장실",126.91860693724412,37.62516069156946
"방화11종합사회복지관",126.80597182249743,37.56949214649784
"강서보건소",126.86822980315206,37.54974583617008
"개나리공중화장실",127.05833377098313,37.669274544650015
"발산119안전센터",126.83685412764297,37.55530732413058
"중곡2동사무소",127.0814919068322,37.56032925600668
"등촌공중화장실",126.84177968595898,37.5634247621981
"중곡3동사무소",127.08013095405843,37.56886548135829
"서낭당공중화장실",126.85003710496585,37.55858984545044
"중곡4동사무소",127.08727414981395,37.565371788072156
"우장1공중화장실",126.84357345267146,37.550401297994384
"능동사무소",127.08051621366177,37.55381134786961
"우장2공중화장실",126.84357345267146,37.550401297994384
"대현공중화장실",126.9437264184716,37.557838104992015
"신월공원화장실",126.83384284013,37.518024917489356
"관악문화관도서관",126.94491705935961,37.468013741130065
"독서공원화장실",126.83491563706922,37.51974800271014
"보라매제1공영주차장",126.93444941842576,37.488685574509084
"오솔길공원화장실",126.83653435428047,37.52111543453081
"햇빛공중화장실",127.06032989372962,37.66662831516154
"강서소방서",126.86019373088776,37.558101830186494
"종달새공중화장실",127.06203178006979,37.66800748382229
"매바위공중화장실",126.92396361950999,37.59048234804553
"송정역",126.81209019185582,37.56154102609625
"군자동사무소",127.07595041567714,37.555185117452716
"가리봉2동주민센터",126.88401676131956,37.48417300830089
"삭새어린이공원",126.82502977669856,37.49637205513785
"오류1동주민센터",126.84509971140065,37.49709444506608
"아름공중화장실",126.84870957792552,37.56868494444204
"신원동주민센터",126.92736434455563,37.481629689422476
